Feature,Importance
url_length,1103
url_len,1057
host_entropy,708
path_depth,675
letter_ratio,656
domain_len,564
path_len,556
path_length,496
abnormal_url,492
special_ratio,458
char_dot,416
digit_ratio,398
char_hyphen,384
vowel_ratio,366
suspicious_extension,315
max_token_len,306
consonant_count,284
longest_token_length,284
web_http_status,282
phish_adv_number_count,282
url_entropy,279
subdomain_count,278
web_ext_ratio,274
query_len,271
char_double_slash,269
is_https,259
unique_char_ratio,249
url_len_v2,233
special_char_ratio,226
avg_token_len,226
digit_count_v2,214
suspicious_keyword_count,213
phish_adv_hyphen_count,203
consonant_ratio,199
char_percent,195
has_exe_or_zip,186
web_security_score,175
web_unique_domains,169
domain_entropy,165
https_flag,156
special_count_v2,155
entropy,150
phish_adv_many_params,148
num_semicolons,142
vowel_count,132
num_dots,127
token_count,122
domain_length,119
path_underscore_count,95
web_hidden_inputs,90
phish_adv_brand_in_path,86
web_favicon,85
num_underscores,82
char_equals,79
num_tilde,78
letter_count_v2,78
web_hsts,76
phish_adv_brand_in_subdomain,76
char_at,75
Shortining_Service,75
phish_urgency_words,69
num_special_chars,68
suspicious_tld,67
web_forms_count,65
contains_ip,65
char_comma,63
phish_suspicious_tld,57
query_param_count,56
letters,53
phish_adv_path_keywords,52
num_ampersands,52
web_ssl_valid,49
web_csp,47
digits,44
web_is_live,44
phish_brand_mentions,44
char_plus,40
char_hash,40
path_has_hacked_terms,40
web_xframe,37
phish_adv_has_redirect,36
letter_count,33
web_xcontent,29
having_ip_address,27
phish_multiple_subdomains,27
phish_security_words,21
is_ip_host,20
phish_adv_many_subdomains,20
is_shortened,18
has_port,17
phish_brand_hijack,17
is_shortener,16
char_question,14
web_password_fields,13
phish_adv_exact_brand_match,10
web_has_login,9
phish_adv_long_domain,9
phish_long_path,8
has_punycode,6
double_slash_count,3
phish_adv_suspicious_tld,2
char_exclamation,1
num_digits,1
contains_at,0
is_syntax_valid,0
num_hash,0
num_asterisk,0
num_plus,0
num_percent,0
num_equals,0
num_hyphens,0
is_gov_edu,0
phish_adv_encoded_chars,0
phish_many_params,0
https,0
char_asterisk,0
char_dollar,0
multiple_subdomains,0
